Date,GJupiter,GLuna,GMars,GMercury,GNeptune,GSaturn,GUranus,GVenus
01/02/1980,160.4577083,96.52871657,164.4181102,269.7733895,261.2458661,177.2772198,234.3808275,312.916454
01/03/1980,160.4353767,109.3684725,164.5757304,271.3091067,261.2817125,177.2852093,234.4278519,314.1483154
01/04/1980,160.4098463,121.9461111,164.7231466,272.8507325,261.3173711,177.2913772,234.4742713,315.379553
01/05/1980,160.3811045,134.2729519,164.8601753,274.3983278,261.352842,177.2957273,234.5200765,316.6101662
01/06/1980,160.3491645,146.3795892,164.9865948,275.9520194,261.3881059,177.2982413,234.565261,317.8401429
01/07/1980,160.3140305,158.3146098,165.1022115,277.5119545,261.4231728,177.2989245,234.6098064,319.0694687
01/08/1980,160.2757157,170.1419908,165.2068266,279.078307,261.4580144,177.2977848,234.6537081,320.2981387
01/09/1980,160.234239,181.937675,165.3002117,280.6512739,261.4926312,177.2948182,234.6969593,321.5261283
01/10/1980,160.1896173,193.7856446,165.3821906,282.2310481,261.5270233,177.2900116,234.7395395,322.7534382
01/11/1980,160.1418695,205.7735107,165.4525565,283.817869,261.5611715,177.2833952,234.7814419,323.9800433
01/12/1980,160.0910127,217.9872268,165.5111039,285.4119588,261.5950667,177.274952,234.8226643,325.2059296
01/13/1980,160.0370748,230.5046808,165.5576474,287.013573,261.6287093,177.2646859,234.8631884,326.4310704
01/14/1980,159.9800603,243.3879856,165.5920175,288.6229424,261.662081,177.252597,234.9030051,327.6554652
01/15/1980,159.9200083,256.6749758,165.6140217,290.2403179,261.6951812,177.2387076,234.942103,328.8790674
01/16/1980,159.856956,270.371199,165.6235082,291.8659531,261.7280005,177.2229994,234.9804753,330.1018675
01/17/1980,159.7909391,284.4448423,165.6203283,293.5000562,261.7605205,177.2055039,235.018113,331.323834
01/18/1980,159.7220059,298.8272861,165.6043454,295.1428689,261.7927418,177.186208,235.0550022,332.5449368
01/19/1980,159.6501884,313.4206793,165.5754522,296.7945874,261.8246638,177.1651381,235.0911362,333.7651333
01/20/1980,159.5755276,328.1118749,165.5335598,298.4553929,261.8562594,177.142298,235.126506,334.9843758
01/21/1980,159.4980757,342.788861,165.4785709,300.1254371,261.8875274,177.1177024,235.1611001,336.2026319